src,ra_deg,dec_deg,mjd,catalog,repeater
FRB20200125A,219.13158333333328,7.7019,58873.510643518515,FRBCat,False
FRB20190614D,65.07554166666665,73.70675,58648.050717708335,FRBCat,False
FRB191108,23.445833333333333,31.858333333333334,58795.82558415509,FRBCat,False
FRB190711,329.4194999999999,-80.35799999999999,58675.07894515046,FRBCat,False
FRB190611,320.7454583333333,-79.39758333333334,58645.24008447917,FRBCat,False
FRB190608,334.0197916666666,-7.898222222222222,58642.950149108794,FRBCat,False
FRB190523,207.065,72.46972222222223,58626.25411822917,FRBCat,False
FRB190102,322.41566666666665,-79.47569444444444,58485.23522559028,FRBCat,False
FRB181228,322.41566666666665,-45.967333333333336,58480.57557986111,FRBCat,False
FRB181123,76.52816666666665,9.595,58445.74246674769,FRBCat,False
FRB181112,327.34845833333327,-52.97094166666667,58434.7300403125,FRBCat,False
FRB181017,331.4784166666666,-8.84283888888889,58408.43376620371,FRBCat,False
FRB181016,236.58683333333332,-25.409055555555554,58407.17842939815,FRBCat,False
FRB180924,326.1052291666667,-40.90002777777778,58385.68278502315,FRBCat,False
FRB180916.J0158+65,29.5,65.73333333333333,58653.096136643515,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58653.111257349534,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58653.14659694445,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58653.27850789352,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58802.25840267361,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58836.169296238426,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58836.16929694444,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58836.175918217596,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58868.082214421294,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58868.08461892361,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58868.086796365744,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58899.56141184028,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58899.56781755787,FRBCat,True
FRB180916.J0158+65,29.5,65.73333333333333,58899.57561574074,FRBCat,True
FRB180714,266.54999999999995,-11.763055555555555,58313.41676736111,FRBCat,False
FRB180528,99.70749999999998,-49.89972222222222,58266.18334375,FRBCat,False
FRB180525,219.99999999999997,-2.2,58263.638269849536,FRBCat,False
FRB180515,348.29999999999995,-42.24611111111111,58253.914889872685,FRBCat,False
FRB180430,102.74999999999999,-9.95,58238.41665162037,FRBCat,False
FRB180417,186.23333333333332,14.216666666666667,58225.55452546296,FRBCat,False
FRB180324,93.99999999999999,-34.78333333333333,58201.397068356484,FRBCat,False
FRB180321,8.25,42.03,58198.29576388889,FRBCat,False
FRB180315,293.74999999999994,-26.833333333333332,58192.21216417824,FRBCat,False
FRB180311,322.88924999999995,-57.74075,58188.17493981482,FRBCat,False
FRB180309,321.18249999999995,-33.97902777777778,58186.117742939816,FRBCat,False
FRB180212,215.24999999999997,-3.5833333333333335,58161.989634247686,FRBCat,False
FRB180131,5.457916666666666,-40.68333333333333,58149.23963333333,FRBCat,False
FRB180130,5.467499999999999,-38.56666666666667,58148.205208252315,FRBCat,False
FRB180128.2,335.49999999999994,-60.25,58146.20378236111,FRBCat,False
FRB180128.0,208.99999999999997,-6.716666666666667,58146.04141917824,FRBCat,False
FRB180119,0.8720833333333333,-12.733333333333333,58137.517022534725,FRBCat,False
FRB180110,5.470833333333332,-35.45,58128.315682395834,FRBCat,False
FRB171216,51.99999999999999,-57.06666666666667,58103.74943081019,FRBCat,False
FRB171213,54.74999999999999,-10.933333333333334,58100.599079479165,FRBCat,False
FRB171209,237.60416666666666,-46.17222222222222,58096.857216435186,FRBCat,False
FRB171116,0.8791666666666667,-17.233333333333334,58073.62469103009,FRBCat,False
FRB171020,333.74999999999994,-19.666666666666668,58046.43609488426,FRBCat,False
FRB171019,5.572916666666665,-8.666666666666666,58045.56018630787,FRBCat,False
FRB171004,2.9899999999999993,-11.9,58030.141426504626,FRBCat,False
FRB171003,3.1229166666666663,-14.116666666666667,58029.171803020836,FRBCat,False
FRB170922,322.460875,-7.994580555555555,58018.47469212963,FRBCat,False
FRB170906,5.499166666666666,-19.95,58002.54648712963,FRBCat,False
FRB170827,12.327749999999998,-65.55063888888888,57992.680763888886,FRBCat,False
FRB170712,339.0,-60.95,57946.55714576389,FRBCat,False
FRB170707,44.74999999999999,-57.266666666666666,57941.262203171296,FRBCat,False
FRB170606,83.49999999999999,41.75,57910.4190625,FRBCat,False
FRB170428,326.75,-41.85,57871.75179050926,FRBCat,False
FRB170416,333.24999999999994,-55.03333333333333,57859.9661203588,FRBCat,False
FRB170107,2.8470833333333325,-5.0,57760.83689975694,FRBCat,False
FRB161202,356.0,40.8,57724.558958333335,FRBCat,False
FRB160920,83.49999999999999,41.75,57651.128969907404,FRBCat,False
FRB160608,114.17499999999998,-40.797777777777775,57547.161818148146,FRBCat,False
FRB160410,130.35416666666666,6.084722222222222,57488.35670925926,FRBCat,False
FRB160317,118.44583333333331,-29.608611111111113,57464.37542280093,FRBCat,False
FRB160206,15.249999999999996,41.63,57424.43530092593,FRBCat,False
FRB160102,339.7041666666666,-30.180555555555557,57389.35323349537,FRBCat,False
FRB151230,145.20833333333331,-3.4513888888888893,57386.67762181713,FRBCat,False
FRB151206,290.35416666666663,-4.131666666666666,57362.262416412035,FRBCat,False
FRB151125,22.749999999999996,30.979999999999997,57351.65458333334,FRBCat,True
FRB151125,22.999999999999996,30.979999999999997,57354.65550925926,FRBCat,True
FRB151018,80.24999999999999,33.1,57313.045694444445,FRBCat,False
FRB150807,340.6291666666666,-55.07833333333333,57241.74578506944,FRBCat,False
FRB150610,161.1083333333333,-40.08972222222222,57183.22707634259,FRBCat,False
FRB150418,109.14583333333331,-19.011111111111113,57130.18688260417,FRBCat,False
FRB150215,274.3625,-4.904166666666667,57068.86228835648,FRBCat,False
FRB141216,3.4999999999999996,41.64,57007.544027777774,FRBCat,False
FRB141113,93.25041666666665,18.786444444444445,56974.3214724537,FRBCat,False
FRB140514,338.5249999999999,-12.312777777777779,56791.718183564815,FRBCat,False
FRB140212,22.749999999999996,30.540000000000003,56700.43835648148,FRBCat,False
FRB131104,101.04166666666666,-51.27777777777778,56600.752907407405,FRBCat,False
FRB131030,6.249999999999999,39.980000000000004,56595.67586805556,FRBCat,False
FRB130729,205.33749999999998,-5.995277777777778,56502.376286921295,FRBCat,False
FRB130628,135.75833333333333,3.437777777777778,56471.165279837965,FRBCat,False
FRB130626,246.77499999999995,-7.463333333333334,56469.62221957176,FRBCat,False
FRB121029,3.0,42.059999999999995,56229.67113425926,FRBCat,False
FRB121002,273.6958333333333,-85.19805555555556,56202.5481300463,FRBCat,False
FRB120127,348.7749999999999,-18.427222222222223,55953.341223668984,FRBCat,False
FRB110703,352.7125,-2.8733333333333335,55745.79144221065,FRBCat,False
FRB110627,315.9291666666667,-44.73861111111111,55739.89811894676,FRBCat,False
FRB110523,326.29999999999995,-0.16027777777777777,55704.629394675925,FRBCat,False
FRB110220,338.6583333333333,-12.395833333333332,55612.080417777775,FRBCat,False
FRB110214,20.320833333333333,-49.78638888888889,55606.301508715274,FRBCat,False
FRB090625,46.945833333333326,-29.92666666666667,55007.91240021991,FRBCat,False
FRB010724,19.525,-75.205,52114.82640844907,FRBCat,False
FRB010621,283.0208333333333,-8.493055555555555,52081.543186331015,FRBCat,False
FRB010312,81.72874999999999,-64.93866666666668,51980.46305532407,FRBCat,False
FRB010305,74.33125,-52.60685222222222,51973.52032430556,FRBCat,False
FRB010125,286.7208333333333,-40.620555555555555,51934.02032164352,FRBCat,False
FRB20180725A,93.42,67.1,58324.749803205996,CHIME_Catalog1,False
FRB20180727A,197.7,26.4,58326.036261585,CHIME_Catalog1,False
