src,ra_deg,dec_deg,mjd,repeater
FRB20190210C,295.8,89.1,58524.25258585,False
FRB20180730A,57.39,87.2,58329.151134265994,False
FRB20180906B,185.8,56.4,58367.887947305,False
FRB20190630D,143.4,8.9,58664.958263749,False
FRB20190409D,336.6,27.0,58582.72157403,False
FRB20181228C,265.2,54.4,58480.8030146,False
FRB20180729B,89.9,56.5,58328.728032398,False
FRB20190609B,210.5,88.35,58643.6997816426,False
FRB20190109A,108.0,5.2,58492.33368501,False
FRB20190213A,31.7,20.1,58527.02947582,True
FRB20190213A,31.7,20.1,58618.7734646,True
FRB20190124E,297.8,20.6,58507.81726226,False
FRB20190609A,345.3,87.9,58643.1153025701,False
FRB20190218C,157.0,78.0,58532.847349822194,False
FRB20181130A,355.19,46.5,58452.12719432,False
FRB20190427A,78.9,7.8,58600.9545243727,False
FRB20181030E,135.67,8.9,58421.600999999995,False
FRB20190309A,279.0,52.4,58551.643480714,False
FRB20181014D,216.0,-2.9,58405.868384730995,False
FRB20190629A,6.3,12.7,58663.57903458,False
FRB20190307B,269.2,38.4,58549.62415401,False
FRB20181214C,175.9,60.02,58466.59482437,False
FRB20190604G,120.81,59.5,58638.966974065,False
FRB20190116D,85.1,68.7,58499.249408535994,False
FRB20181230E,113.3,86.85,58482.85930689,False
FRB20190701E,138.6,61.71,58665.938930191,False
FRB20190628A,199.1,51.8,58662.119326322005,False
FRB20181203A,33.6,23.6,58455.22586821,False
FRB20190323B,193.22,77.2,58565.363150085,False
FRB20190117A,331.7,17.4,58500.92953830941,True
FRB20190117A,331.7,17.4,58664.482458865,True
FRB20190117A,331.74999999999994,17.383333333333333,58705.369722916665,True
FRB20190117A,331.74999999999994,17.383333333333333,58710.35678934838,True
FRB20190117A,331.74999999999994,17.383333333333333,58719.3325912037,True
FRB20190117A,331.74999999999994,17.383333333333333,58840.00494363727,True
FRB20181227A,31.8,78.4,58479.156044097996,False
FRB20190404B,259.8,40.0,58577.52240299599,False
