frb_name,utc,telescope,rop_raj,rop_decj,rmp_dm,rmp_width,rmp_snr,rmp_flux
FRB20200125A,2020/01/25 12:15:19.600,GBT,14:36:31.580,+07:42:06.84,179.47&plusmn0.05,3.7,8.1,0.368
FRB20190614D,2019/06/14 01:13:02.010,VLA,04:20:18.130,+73:42:24.3,959.2&plusmn5,5.0,8.27,0.124
FRB191108,2019/11/08 19:48:50.471,Apertif,01:33:47.000,+31:51:30,588.1&plusmn0.1,0.34,103.0,27.0
FRB190711,2019/07/11 01:53:40.861,ASKAP,21:57:40.680,-80:21:28.8,593.1&plusmn0.4,6.5,23.8,
FRB190611,2019/06/11 05:45:43.299,ASKAP,21:22:58.910,-79:23:51.3,321.4&plusmn0.2,2.0,9.3,
FRB190608,2019/06/08 22:48:12.883,ASKAP,22:16:04.750,-07:53:53.6,338.7&plusmn0.5,6.0,16.1,
FRB190523,2019/05/23 06:05:55.815,DSA-10,13:48:15.600,+72:28:11,760.8&plusmn0.6,0.42,11.5,
FRB190102,2019/01/02 05:38:43.491,ASKAP,21:29:39.760,-79:28:32.5,363.6&plusmn0.3,1.7,14.0,
FRB181228,2018/12/28 13:48:50.100,UTMOST,21:29:39.760,-45:58:02.4,354.2&plusmn0.9,1.24,12.0,19.23
FRB181123,2018/11/23 17:49:09.127,FAST,05:06:06.760,09:35.7,1812&plusmn2,1.05,0.0,0.065
FRB181112,2018/11/12 17:31:15.483,ASKAP,21:49:23.630,-52:58:15.39,589.27&plusmn0.03,2.1,19.3,
FRB181016,2018/10/16 04:16:56.300,UTMOST,15:46:20.840,-25:24:32.6,1982.8&plusmn2.8,8.6,17.0,10.19
FRB180924,2018/09/24 16:23:12.626,ASKAP,21:44:25.255,-40:54:00.1,361.42&plusmn0.06,1.3,194.0,12.3
FRB180817.J1533+42,2018/08/17 01:49:20.202,CHIME/FRB,15:33:00.000,+42:12,1006.84&plusmn0.002,0.37,69.9,
FRB180812.J0112+80,2018/08/12 11:45:32.872,CHIME/FRB,01:12:00.000,+80:47,802.57&plusmn0.04,1.25,19.8,
FRB180810.J1159+83,2018/08/10 22:40:42.493,CHIME/FRB,11:59:00.000,+83:07,169.134&plusmn0.002,0.28,56.7,
FRB180810.J0646+34,2018/08/10 17:28:54.614,CHIME/FRB,06:46:00.000,+34:52,414.95&plusmn0.02,0.27,17.7,
FRB180806.J1515+75,2018/08/06 14:13:03.107,CHIME/FRB,15:15:00.000,+75:38,739.98&plusmn0.03,0.69,17.5,
FRB180801.J2130+72,2018/08/01 08:47:14.793,CHIME/FRB,21:30:00.000,+72:43,656.2&plusmn0.03,0.51,41.1,
FRB180730.J0353+87,2018/07/30 03:37:25.937,CHIME/FRB,03:53:00.000,+87:12,849.047&plusmn0.002,0.42,92.4,
FRB180729.J1316+55,2018/07/29 00:48:19.238,CHIME/FRB,13:16:00.000,+55:32,109.61&plusmn0.002,0.12,243.1,
FRB180729.J0558+56,2018/07/29 17:28:18.258,CHIME/FRB,05:58:00.000,+56:30,317.37&plusmn0.01,0.08,25.2,
FRB180727.J1311+26,2018/07/27 00:52:04.474,CHIME/FRB,13:11:00.000,+26:26,642.07&plusmn0.03,0.78,14.2,
FRB180725.J0613+67,2018/07/25 17:59:32.813,CHIME/FRB,06:13:00.000,+67:04,715.98&plusmn0.02,0.31,34.5,
FRB180725.J0613+67,2018/07/25 17:59:43.115,CHIME/FRB,00:12:53.100,+67:03:59.1,716.6&plusmn0.02,2.0,19.4,
FRB180714,2018/07/14 10:00:08.700,parkes,17:46:12.000,-11:45:47,1467.92&plusmn0.3,2.9,22.0,0.6
FRB180528,2018/05/28 04:24:00.900,UTMOST,06:38:49.800,-49:53:59,899.3&plusmn0.6,2.0,11.0,15.75
FRB180525,2018/05/25 15:19:06.515,ASKAP,14:40:00.000,-2:12,388.1&plusmn0.3,3.8,27.4,78.9
FRB180515,2018/05/15 21:57:26.485,ASKAP,23:13:12.000,-42:14:46,355.2&plusmn0.5,1.9,12.1,24.2
FRB180430,2018/04/30 09:59:58.700,ASKAP,06:51:00.000,-09:57,264.1&plusmn0.5,1.2,28.2,147.5
FRB180417,2018/04/17 13:18:31.000,ASKAP,12:24:56.000,+14:13,474.8,2.52,24.2,21.8
FRB180324,2018/03/24 09:31:46.706,ASKAP,06:16:00.000,-34:47,431&plusmn0.4,4.3,9.8,16.5
FRB180321,2018/03/21 07:05:54.000,Pushchino,00:33:00.000,+42:01:48,594&plusmn5,1670.0,8.2,0.54
FRB180315,2018/03/15 05:05:30.985,ASKAP,19:35:00.000,-26:50,479&plusmn0.4,2.4,10.4,23.3
FRB180311,2018/03/11 04:11:54.800,parkes,21:31:33.420,-57:44:26.7,1570.9&plusmn0.5,13.4,11.5,0.15
FRB180309,2018/03/09 02:49:32.990,parkes,21:24:43.800,-33:58:44.5,263.42&plusmn0.01,0.475,411.0,27.6
FRB180212,2018/02/12 23:45:04.399,ASKAP,14:21:00.000,-3:35,167.5&plusmn0.5,1.81,18.3,53.0
FRB180131,2018/01/31 05:45:04.320,ASKAP,00:21:49.900,-40:41,657.7&plusmn0.5,4.5,13.8,22.2
FRB180130,2018/01/30 04:55:29.993,ASKAP,00:21:52.200,-38:34,343.5&plusmn0.4,4.1,10.2,23.1
FRB180128.2,2018/01/28 04:53:26.796,ASKAP,22:22:00.000,-60:15,495.9&plusmn0.7,2.3,9.6,28.7
FRB180128.0,2018/01/28 00:59:38.617,ASKAP,13:56:00.000,-06:43,441.4&plusmn0.2,2.9,12.4,17.5
FRB180119,2018/01/19 12:24:30.747,ASKAP,00:03:29.300,-12:44,402.7&plusmn0.7,2.7,15.9,40.7
FRB180110,2018/01/10 07:34:34.959,ASKAP,00:21:53.000,-35:27,715.7&plusmn0.2,3.2,35.6,128.1
FRB171216,2017/12/16 17:59:10.822,ASKAP,03:28:00.000,-57:04,203.1&plusmn0.5,1.9,8.0,21.0
FRB171213,2017/12/13 14:22:40.467,ASKAP,03:39:00.000,-10:56,158.6&plusmn0.2,1.5,25.1,88.6
FRB171209,2017/12/09 20:34:23.500,parkes,15:50:25.000,-46:10:20,1457.4&plusmn0.03,2.5,40.0,1.48
FRB171116,2017/11/16 14:59:33.305,ASKAP,00:03:31.000,-17:14,618.5&plusmn0.5,3.2,11.8,19.6
FRB171020,2017/10/20 10:27:58.598,ASKAP,22:15:00.000,-19:40,114.1&plusmn0.2,3.2,19.5,117.6
FRB171019,2017/10/19 13:26:40.097,ASKAP,00:22:17.500,-08:40,460.8&plusmn1.1,5.4,23.4,40.5
FRB171004,2017/10/04 03:23:39.250,ASKAP,00:11:57.600,-11:54,304&plusmn0.3,2.0,10.9,22.0
FRB171003,2017/10/03 04:07:23.781,ASKAP,00:12:29.500,-14:07,463.2&plusmn1.2,2.0,13.8,40.5
FRB170922,2017/09/22 11:23:33.400,UTMOST,21:29:50.610,-07:59:40.49,1111&plusmn1,34.1,20.0,5.19
FRB170906,2017/09/06 13:06:56.488,ASKAP,00:21:59.800,-19:57,390.3&plusmn0.4,2.5,17.0,29.6
FRB170827,2017/08/27 16:20:18.000,UTMOST,00:49:18.660,-65:33:02.3,176.8&plusmn0.04,0.4,110.0,60.0
FRB170712,2017/07/12 13:22:17.394,ASKAP,22:36:00.000,-60:57,312.79&plusmn0.07,1.4,12.7,37.8
FRB170707,2017/07/07 06:17:34.354,ASKAP,02:59:00.000,-57:16,235.2&plusmn0.6,3.5,9.5,14.8
FRB170606,2017/06/06 10:03:27.000,Pushchino,05:34:00.000,41:45:00,247&plusmn5,3300.0,8.3,0.54
FRB170428,2017/04/28 18:02:34.700,ASKAP,21:47:00.000,-41:51,991.7&plusmn0.9,4.4,10.5,7.7
FRB170416,2017/04/16 23:11:12.799,ASKAP,22:13:00.000,-55:02,523.2&plusmn0.2,5.0,13.0,19.4
FRB170107,2017/01/07 20:05:08.139,ASKAP,00:11:23.300,-05:00,609.5&plusmn0.5,2.4,16.0,24.1
FRB161202,2016/12/02 13:24:54.000,Pushchino,23:44:00.000,+40:48:00,291&plusmn4,810.0,7.1,0.29
FRB160920,2016/09/20 03:05:43.000,Pushchino,05:34:00.000,41:45:00,1767&plusmn4,5000.0,9.1,0.22
FRB160608,2016/06/08 03:53:01.088,UTMOST,07:36:42.000,-40:47:52,682&plusmn7,9.0,12.0,4.3
